Thu Feb  4 00:20:53 2016 Program started.
Thu Feb  4 01:08:59 2016 Found coin @ x: 717  y: 173
Thu Feb  4 01:09:01 2016 Found coin @ x: 717  y: 173
Thu Feb  4 01:09:04 2016 Found hammer @ x: 1184  y: 433
Thu Feb  4 01:09:14 2016 Found coin @ x: 613  y: 225
Thu Feb  4 01:09:20 2016 Found moon @ x: 1195  y: 424
Thu Feb  4 01:09:31 2016 make kohl @ x: 512  y: 306
Thu Feb  4 01:09:48 2016 Found coin @ x: 613  y: 69
Thu Feb  4 01:09:49 2016 Found coin @ x: 613  y: 69
Thu Feb  4 01:09:59 2016 Found coin @ x: 301  y: 225
Thu Feb  4 01:10:01 2016 Found coin @ x: 197  y: 277
Thu Feb  4 01:10:11 2016 Found coin @ x: 396  y: 319
Thu Feb  4 01:10:13 2016 Found coin @ x: 396  y: 319
Thu Feb  4 01:10:37 2016 Found coin @ x: 509  y: 121
Thu Feb  4 01:10:39 2016 Found coin @ x: 509  y: 121
Thu Feb  4 01:10:48 2016 Found coin @ x: 509  y: 277
Thu Feb  4 01:10:51 2016 Found coin @ x: 509  y: 277
Thu Feb  4 01:11:01 2016 Found coin @ x: 292  y: 371
Thu Feb  4 01:11:32 2016 Found coin @ x: 93  y: 329
Thu Feb  4 01:11:42 2016 Found coin @ x: 717  y: 485
Thu Feb  4 01:11:45 2016 Found coin @ x: 717  y: 485
Thu Feb  4 01:12:10 2016 Found coin @ x: 821  y: 537
Thu Feb  4 01:12:13 2016 Found coin @ x: 821  y: 537
Thu Feb  4 01:12:38 2016 Found coin @ x: 197  y: 433
Thu Feb  4 01:12:40 2016 Found coin @ x: 197  y: 433
Thu Feb  4 01:13:12 2016 Found hammer @ x: 956  y: 383
Thu Feb  4 01:13:19 2016 Found coin @ x: 665  y: 615
Thu Feb  4 01:13:29 2016 Found moon @ x: 967  y: 374
Thu Feb  4 01:13:37 2016 make pot @ x: 509  y: 309
Thu Feb  4 01:13:42 2016 Found coin @ x: 873  y: 95
Thu Feb  4 01:13:44 2016 Found hammer @ x: 718  y: 277
Thu Feb  4 01:14:01 2016 Found moon @ x: 729  y: 268
Thu Feb  4 01:14:05 2016 make horn @ x: 512  y: 310
Thu Feb  4 01:14:22 2016 Found coin @ x: 405  y: 173
Thu Feb  4 01:14:24 2016 Found coin @ x: 717  y: 173
Thu Feb  4 01:14:27 2016 Found hammer @ x: 1008  y: 565
Thu Feb  4 01:14:33 2016 Found coin @ x: 613  y: 225
Thu Feb  4 01:14:35 2016 Found coin @ x: 613  y: 225
Thu Feb  4 01:14:41 2016 Found moon @ x: 1019  y: 556
Thu Feb  4 01:14:49 2016 make pot @ x: 509  y: 309
Thu Feb  4 01:14:54 2016 Found coin @ x: 613  y: 69
Thu Feb  4 01:14:57 2016 Found hammer @ x: 1184  y: 433
Thu Feb  4 01:15:06 2016 Found coin @ x: 301  y: 225
Thu Feb  4 01:15:16 2016 Found coin @ x: 197  y: 277
Thu Feb  4 01:15:18 2016 Found coin @ x: 197  y: 277
Thu Feb  4 01:15:25 2016 Found moon @ x: 1195  y: 424
Thu Feb  4 01:15:36 2016 make kohl @ x: 512  y: 306
Thu Feb  4 01:15:52 2016 Found coin @ x: 509  y: 121
Thu Feb  4 01:15:54 2016 Found coin @ x: 509  y: 121
Thu Feb  4 01:16:04 2016 Found coin @ x: 509  y: 277
Thu Feb  4 01:16:06 2016 Found coin @ x: 509  y: 277
Thu Feb  4 01:16:49 2016 Found coin @ x: 717  y: 485
Thu Feb  4 01:16:58 2016 Found coin @ x: 93  y: 329
Thu Feb  4 01:17:27 2016 Found coin @ x: 821  y: 537
Thu Feb  4 01:17:30 2016 Found coin @ x: 821  y: 537
Thu Feb  4 01:17:44 2016 Found coin @ x: 197  y: 433
Thu Feb  4 01:18:38 2016 Found coin @ x: 665  y: 615
Thu Feb  4 01:18:41 2016 Found coin @ x: 665  y: 615
Thu Feb  4 01:18:50 2016 Found coin @ x: 873  y: 95
Thu Feb  4 01:18:57 2016 Found hammer @ x: 956  y: 383
Thu Feb  4 01:19:10 2016 Found hammer @ x: 718  y: 277
